Skills,Position
"microfrontend,jira developer,react.js,mean stack,technologies web,aws lambda,angular cli,node.js,mongodb,services web,front office,big data,machine learning,algorithmes,php ,feuilles de style en cascade (css),html,jquery,javascript,angular,python,java enterprise edition,html 5,css 3 ,twitter bootstrap,amazon web services,services web restful,angular ,css,angularjs,php,laravel,java,javaee,angular 4,scripts html,html dynamique,vuejs,api de services web,j2ee web services,javascriptmvc,bibliothèques javascript,développement d’algorithmes,express.js,rest api ,no sql,framework symfony",Techlead / Référent FullStack
"microservices,anglais,keycloak,mysql,feuilles de style en cascade (css),programmation orientée objet (poo),documentation technique,logique métier,solife,architecture mvc,apache kafka,sens de l’écoute,autonomie,html,instruments financiers,api rest,rabbitmq,scrum,services web restful,soap,compétences interpersonnelles,compétences analytiques,assurances,oracle database,jira,junit,jenkins,docker,git,json,spring boot,postgresql,java,microsoft office,langage de modélisation unifié (uml),sql,communication,travail d’équipe,analyse de données,sens de l’organisation,framework spring",Analyst Developer
"microservices,devops,maven,services web restful,sql,framework symfony,scrum agile,spring boot,c (langage de programmation),html5, css,java,angular,mysql,mongodb,node.js,express.js,javascript",Java Software Developer
"microservices,framework spring,api rest,cloud computing,scrum,mongodb,sonarqube,mysql,maven,git,java,sql,talend open studio,uml,oracle database,sql server integration services (ssis),sql server reporting services (ssrs),wedo technologies,web services,openerp,python,etl,sap bw,sap abap,xpages,javascript,html,ejb,hibernate,php,jpa",Référent technique
"microservices,framework spring,ingénierie,feuilles de style en cascade (css),spring boot,react.js,produits docker,jenkins,sonarqube,laravel,blockchain,ethereum,solidity,javascript,php,git,java,développement web,github,mysql,c++,adobe illustrator,adobe photoshop,sql,phpmyadmin,pl/sql,javafx,symfony,framework symfony,phpstorm,angularjs,node.js,linux,nosql,netbeans,technologies de l’information",Ingénieur logiciel - Full-stack developer
"microservices,language skills,technical ability,multitasking,collaborative problem solving,english,software,communication,microsoft excel,problem solving,critical thinking,business english,creative problem solving,java,jenkins,jira,agile methodologies,oracle sql developer",Software Developer
"microservices,spring security,spring batch,jenkins,gitlab,typescript,solid modeling,shell scripting,scrum,framework spring,java,angular,docker,spring boot,git,javascript,logiciel,design,modélisation,c,html,mysql,adobe photoshop,adobe illustrator",Analyst Developer
"microsoft azure machine learning,azure devops services,mlops,react.js,large language models (llm),flask,genai,aws glue,amazon redshift,sap analytics cloud,pyspark,microsoft power bi,amazon quicksight,computer vision,opencv,pytorch,sql,h2o.ai,deep learning,machine learning,spring boot,automated machine learning (automl),front-end development,mysql,artificial intelligence (ai),mlflow,python (programming language),selenium,tensorflow,data visualization,web development,cloud analytics,angular,rest apis,node.js,java",Data scientist
"microsoft azure,amazon web services (aws),kubernetes,continuous integration and continuous delivery (ci/cd),saltstack,argocd,kustomize,jenkins,terraform,prometheus,java,python (programming language),kotlin,android,unity,swift,quarkus,spring boot,framework spring,framework symfony,node.js,mysql,postgresql,react.js,javascript,git,microservices,openshift,docker,terragrunt,flyway",Consultant Cloud/DevOps
"microsoft azure,amazon web services (aws),mongodb,atlas,terraform,helm charts,google cloud platform (gcp),github,jenkins,java,spring boot,python (programming language),nexus,telecommunications,networking,network security,telecom,english,marketing,ansible,sonarqube,continuous integration and continuous delivery (ci/cd),test automation,unified modeling language (uml),jsonpath,.net framework,computer science,linux,teaching,french,hyperfrequencies,kubernetes,gitlab,git,docker,devops",DevOps Engineer
"microsoft azure,azure ad,azure active directory,optical character recognition (ocr),single sign-on (sso),html,javascript,web development,mern stack,jira,git,mysql,codename one,django,.net framework,asp.net,express.js,spring boot,node.js,angular,mongodb,react hooks,react.js,javafx,linux,information security,online gaming,swimming,business strategy,2g,key performance indicators,internet protocol (ip),sports nutrition,microsoft office,microsoft word,microsoft excel,java,sql,kali linux,html5,communication,team leadership,english,networking,asterisk,gaming,symfony,packet tracer,symfony framework",Full-stack Developer
"microsoft azure,azure devops,azure data factory,amazon web services (aws),concourse ci,python (programming language),solution architecture,terraform,software engineering,c#,linux,business intelligence,java enterprise edition,java,android sdk,restful webservices,javase,mysql,hibernate,php,jboss application server,javascript,mongodb,c++,c# 4.0,spring framework,soap,spring,software solution architecture,richfaces,symfony,primefaces,diabetes care,diabetes management,jboss seam",Senior DevOps Consultant
"microsoft azure,bitbucket,azure devops services,istio,python (programming language),gitlab,c (programming language),gtk,amazon web services (aws),asp.net,kubernetes,ansible,spring boot,java,linux,angular,nosql,javascript,openstack,rtos µc/os-ii ,kernel-based virtual machine (kvm),jenkins,docker",Cloud Engineer
"microsoft azure,kubernetes,jenkins,linux,cloud computing,devops,ansible,sonarqube,nexus,terraform,azure kubernetes service (aks),docker,git,mysql,automation,containerization,openstack,networking,system administration,virtualization,sql,laravel,information technology",IT Infrastructure Engineer
"microsoft azure,microsoft fabric,microsoft business intelligence (msbi),microsoft power bi,microsoft power query,data analysis expressions (dax),informatique décisionnelle,microsoft excel,neo4j,gestion de projet,planification stratégique,planification de projets,gestion de la relation client (crm),marketing,microsoft office,microsoft word,microsoft powerpoint,html,microsoft sql server,crm microsoft dynamics,microsoft dynamics,sql,leadership,parler en public,gestion d’équipe,travail d’équipe,leadership d’équipe,management,communication,gestion du temps,anglais,arabe,français,leadership à but non lucratif,gephi,sql server integration services (ssis),sql server reporting services (ssrs),extraire, transformer, charger (etl),négociations,stratégie marketing,réseaux sociaux,analyse de données,compétences analytiques,reporting et création de rapports,rédaction de rapport,ms office,analytique,ingénierie,sens de l’organisation,modélisation des données,visualisation de données,cypher",Consultant Business Intelligence
"microsoft business intelligence (msbi),python (langage de programmation),e-commerce,marketing digital,informatique décisionnelle,travail d’équipe,gestion de projet,gestion de la relation client (crm),sens de l’organisation,analyse de données,extract, transform, load (etl),exploration des données,microsoft power bi,microsoft dynamics 365,microsoft sql server,sql server integration services (ssis),sql server reporting services (ssrs),sql server analysis services (ssas),sql server management studio,pl/sql,scrum,data mining,framework symfony,.net framework,angular,big data,hadoop,r,français,anglais,arabe",Consultante SAP BI
"microsoft business intelligence (msbi),sap businessobjects,sap bo,microsoft bi suite,entrepôt de données,tableau de bord,microsoft power bi,sql server integration services (ssis),services d'analyse,data mining,sap bw",SAP BI/BO Consultant
"microsoft dynamics nav,microsoft dynamics 365,spécifications fonctionnelles,assurance qualité,configuration système,paramétrage,documentation,field service,travail d’équipe,livraison de projet,scrum,gestion de projet agile,microsoft powerapps,bscs,crm microsoft dynamics,azure devops,office 365,oral communication,test planning,scenario testing,communication,client requirements,cycle de vie de développement de logiciel (sdlc),méthode agile,analyse des exigences,esprit analytique ,formation des équipes,katalon studio,api postman,newman,tests logiciels,postman,testlink,jira,katalan,compétences analytiques,anglais,méthodes agiles,système qualité,customer service,customer experience management,quality control,presentations,organization skills,key performance indicators,dashboard,commercial,customer relationship management (crm),team management,microsoft excel,continuous improvement,microsoft power bi,quality assurance,leadership,lean management,customer satisfaction,sap erp,solidworks,microsoft office,customer experience,erp incadea,net promoter score",Scrum master : Implémentation module service - ECA SUISSE
"microsoft dynamics,c#,asp.net,administration de bases de données,informatique décisionnelle,data warehouse,analyse de données,crm microsoft dynamics,asp.net mvc,framework symfony",Consultant Microsoft Dynamics 365 CE
"microsoft excel,modélisation 3d,.net core,javafx,angular,spring boot,design,javascript,laravel,framework symfony,vue js,java,symfony,python (langage de programmation)",Ingénieur informatique Full Stack
"microsoft fabric,azure data lake,extract, transform, load (etl),microsoft dynamics 365 sales,microsoft d365 crm,microsoft dynamics 365 customer engagement (ce),microsoft dynamics 365,microsoft power platform,microsoft powerapps,microsoft power automate,microsoft power bi,sql,sql server integration services (ssis),sql server analysis services (ssas),sql server reporting services (ssrs),modélisation uml,conception de bases de données,c#,javascript,html,css,bootstrap,git,github,analyse des besoins,méthodes agiles,scrum,support technique,tests et validation,informatique décisionnelle,analyse des données,entrepôt de données,machine learning,intelligence artificielle,natural language processing (nlp),devops,jenkins,docker,prometheus,grafana,java,spring boot,php,gestion,comptabilité,gestion financière,marketing,e-commerce",Consultant Technique Microsoft Dynamics 365 CE et Power Plateforme
"microsoft loop,environnement agile,xpath,conception de tests,jmeter,pom,npm,cas de test,microsoft visual studio code,test régression ,agile scrum ,eclipse,gitlab ,node.js,arduino,github,typescript,redmine,tello,squash ,trello,communication interpersonnelle,playwright ,solidworks ,rédaction des rapports ,python,api postman,teslink,scrum master ,bdd,jenkins,maven,cucumber,langage gherkin,c++,jira,cap renov +,rédaction de rapport,pompes à chaleur,Énergie renouvelable,test de régression ,java,selenium,python (langage de programmation),git,automatisation des tests,c#,tests logiciels,Électromécanique,maintenance préventive,créativité,microsoft office,solidworks,catia v5,automation,catia,contrôle qualité,autocad,mécanique,efficacité énergétique,module sap pm,sap mm,amélioration continue,gestion de projet,gestion de la maintenance",Ingénieur QA automatisation
microsoft office,SAP Functional Consultant at Avaxia Consulting
"microsoft office,algorithmes,scrum,développement web,gestion de projet agile,computer vision,ai,script shell,big data,développement ios,shell,adobe photoshop,adobe illustrator,mysql,css,framework spring,bases de données,c++,html,java,python,r,javafx,github,xcode,swift,firebase,php,keras,tensorflow,python (langage de programmation),google cloud platform (gcp),sql,unix,hadoop,django,motivation des équipes,gestion du stress,gestion d’équipe,gestion du temps,leadership,public speaking,framework symfony,adobe ai,phpstorm,frameworks php,symfony,spark,cisco spark",Business Analyst
"microsoft office,ansys,catia",Chargé de projet
"microsoft office,autocad,revit,microsoft project,maitrise",Technicien structure
"microsoft office,management,gestion de projet",Consultant QA
"microsoft office,management,service client,microsoft excel,gestion de projet,leadership,microsoft word,planification stratégique,microsoft powerpoint,framwork,base de donnèes plsql sql,langages de programmation,angularjs",Ingénieur DevOps
"microsoft office,microsoft excel,matlab,ingénierie,gestion de projet,r&d,transfert technologique,lancement de produit,bureau de gestion de projet (pmo),lean manufacturing,planification de projets,planification stratégique,génie mécanique,génie électrique,solidworks,microsoft word,catia,autocad,microsoft powerpoint,management,leadership,gestion d’équipe,génie industriel,gestion de projets,artist,amélioration des processus,méthodes agiles,ingénierie de projet",Chargé d’Automatisation et d’Assemblage
"microsoft office,microsoft excel,microsoft word,customer service,powerpoint,english,windows,research,outlook,teaching,photoshop,public speaking,html,strategic planning,budgets,negotiation,editing,c++,c,java,anglais,adobe photoshop,coordination de projet,business-to-business (btob),sales manager,consulting stratégique,3rd generation partnership project,présentations,netsuite,wealth management",Operations and Finance Manager
"microsoft office,research,french,modeling,event management,powerpoint,english,teaching,microsoft word,solidworks,matlab,maintenance management,leadership,manufacturing,gestion de la maintenance,maintenance,génie électrique,génie mécanique,lean manufacturing,génie de la fabrication,microsoft excel,santé et sécurité,approvisionnement",Chargé de projets-Conseiller Technique
"microsoft power apps,canvas app,functional analysis,interpersonal skills,english,process automation,teamwork,microsoft 365,performance motivation,solution orientated,customer relationship management (crm) ,crm integration,asp.net mvc,asp.net web api,web services api,microsoft dynamics crm,javascript,microsoft dynamics,microsoft dynamics 365,android development,java,mysql,git,html5,asp.net,xml",Consultant Technique Dynamics 365 & Power Platform
"microsoft power bi,analyse des données,big data,intelligence artificielle (ia),statistiques,résolution de problèmes,visualisation de données,nettoyage de données,mathématiques,deep learning,extraction de contenu web,collecte de données,programmation orientée objet (poo),science des données,sql,bases de données,traitement automatique du langage naturel,machine learning,r,devops,docker,spring boot,maven,php,framework symfony,javascript,java,python (langage de programmation),mysql,pl/sql,c++,qt,c (langage de programmation),codenameone,html5,html,framework materialize css,feuilles de style en cascade (css)",Data scientist
"microsoft power bi,confluence,sql,scrum,jira,eazybi for jira,mdx,xray,exalate ,big data,scoop,yarn,hadoop,elasticsearch,elk,groovy,grafana,anaconda ,machine learning,mysql,postgresql,redis,python (langage de programmation),administration système linux,informatique décisionnelle,python,django,ruby,docker,git,svn ,ubuntu,slackware ,jenkins,java",Data project Manager
"microsoft power bi,data warehouse,etl,qlikview,sap erp,business analytics,data mining,tableau software,crm,sap bw,sap bo,abap,sap basis,informatique décisionnelle,modélisation des données,uml,tableau de bord,ssas,ssis,ssrs,postgresql,java,web 2.0,html5,css,javascript,symfony,php,.net,mysql,sql,c++,c,c#,java enterprise edition,microsoft sql server,big data,pl/sql,exploration des données,services d'analyse,tableau,spring mvc,business intelligence,mongodb,sqoop,spark,hortonworks,d3js,feuilles de style en cascade (css)",Consultant BI
"microsoft power bi,java,mysql,logstash,api rest,spring boot,linux,maven,jira,xml,kubernetes,docker,kibana,elasticsearch,j2ee web services,apache kafka,intégration continue et livraison continue (ci/cd),business objects data integration,analyse des données,sql,oracle vm,sap erp,power bi,angular,machine learning,r,crisp-dm,python,scala,hadoop,google cloud platform (gcp),nosql",Software Programmer
"microsoft power bi,machine learning,python (langage de programmation),spark,scala,traitement automatique du langage naturel,fouille de textes,deep learning,apprentissage automatique,microsoft azure,google cloud platform (gcp),sql,microsoft sql server,c#,analytics,nlp,informatique décisionnelle,extraire, transformer, charger(etl),data warehouse,modélisation des données,analyse de données,python,r,hadoop,mysql,sql server integration services (ssis),sql server reporting services (ssrs),tableau,nosql,mongodb,oracle database,pl/sql,.net framework,sap bi,microsoft dynamics nav,sap bw,talend,série temporelle,framework symfony,text mining,science des données",Data Engineer
"microsoft power bi,microsoft azure,google cloud platform (gcp),python (programming language),data analysis,alteryx,dax,data visualization,project management,python,communication,google data studio,ibm spss,shell scripting,scrum,mysql,problem solving,git,java,data warehousing,data mining,big data,analytical skills,applied mathematics,r (programming language),hadoop,pl/sql,sql,sql server reporting services (ssrs),sql server integration services (ssis),sql server management studio,microsoft excel,microsoft sql server,javascript,postgresql,c++,spring boot,.net framework,tableau,kali linux,linux,ubuntu,php,pyspark,cloudera,c#,sql server analysis services (ssas),talend,cybersecurity,agile methodologies",Data Consultant
"microsoft power bi,résolution de problèmes,informatique décisionnelle,programmation,analyse de données,j2ee web services,maintenance informatique,developpement java,c#,c++,vb.net,developpement web : php,html,css,big data,crystal reports,microfinance,java,mysql,uml,gestion de projet,microsoft sql server,sql,php,ssrs,sql server integration services (ssis),base de données,talend open studio,analyse des besoins,projets de migration,assistance clientèle,support",Data Engineering Consultant
"microsoft power bi,sql server integration services (ssis),microsoft powerapps,microsoft power automate,microsoft azure,jquery,microsoft dynamics 365,crm microsoft dynamics,c#,ingénierie,anglais,recherche,communication,compétences analytiques,gestion de projet,stratégie,microsoft excel,résolution de problèmes,sql,java,langage de modélisation unifié (uml),c,pl/sql,pytorch,javascript,html,php,microsoft office",Consultant Dynamics & Power Platform
"microsoft power bi,sql server management studio,.net framework,c#,laravel,graphql,communication,spring boot,symfony framework,java,python (programming language),qt creator,linux,c++,c (programming language)",Junior Developer
"microsoft power bi,sql,data analysis expressions (dax),sens de l’écoute,sens de l’organisation,microsoft sql server,collecte des exigences,communication,analytical skills,interpersonal communication,looker,transact-sql (t-sql),sql server management studio,conception de tableaux de bord,systèmes d’information des ressources humaines (hris),talend,sql server integration services (ssis),html,feuilles de style en cascade (css),visual basic,microsoft office,r,python,sql server reporting services (ssrs),symfony,informatique décisionnelle,visualisation de données",Data Analyst
"microsoft power bi,sql,mongodb,microsoft azure,gitlab ci,jira,jenkins,gitlab,bash,aws,kubernetes,terraform,cloudformation,python (langage de programmation),datadog,grafana,dynatrace,nagios",SOC Supervisor
"microsoft power bi,tableau software,figma,analyse de données,html5,feuilles de style en cascade (css),gestion d’équipe,business intelligence,efficacité organisationnelle,français,rédaction de rapport,rédaction d’articles,rédaction de contenus,orthographe,sécurité réseau,entrepreneuriat,microsoft powerpoint,framework symfony,audit interne,internal audit",Senior Consultant
"microsoft power platform,crm microsoft dynamics,sap erp,java,système d’exploitation,système de gestion de base de données (sgbd),développement web,programmation orientée objet (poo),comptabilité financière,gestion de projet,devops,microsoft dynamics 365,talend,python,django,travail d’équipe,langage de modélisation unifié (uml),framework symfony,javafx,angular,spring boot,framework ionic,scrum,postgresql,framework spring,camunda bpm,sql server management studio,microsoft power bi,pl/sql,sql server integration services (ssis),analytique,analyse des données",Data Analyst 
"microsoft power platform,mircrosoft bi(ssis, ssas , ssrs),sap-bw,sap-abap,oracle,pl/sql,mysql,html5,xamarin,c#,php,css,uml,android,java,xml,asp.net,microsoft sql server,microsoft excel,services web j2ee,symfony,xaml,supervision,ibm cognos,r,python,machine learning,deep learning",Microsoft Power Platform Consultant
"microsoft power virtual agents,microsoft power platform,microsoft power bi,sharepoint,microsoft power automate,angular cli,spring boot,postman,xampp,mysql,langage de modélisation unifié (uml),bases de données,php,anglais,c (langage de programmation),programmation orientée objet (poo),html5,css,java,javascript,oracle sql developer,sql,pl/sql,c#,français,arabe,espagnol,coréen",Associate Microsoft Power Platform Dynamics 365
"microsoft powerapps,administration réseau,sécurité réseau,ia générative,intelligence artificielle (ia),Éthique de l’informatique",Consultant technique Microsoft
"microsoft powerapps,microsoft powerapps ,phpmyadmin,logiciel anaconda,spyder,git,github,laravel,python (langage de programmation),gestion de projet,finance,microsoft office,r,adobe photoshop,sql,java,javascript,php,.net framework,linux,communication,management,anglais,français,arabe,spring boot,angularjs,microsoft power bi",Consultante technique Microsoft
"microsoft powerpoint,lean manufacturing,solidworks,arduino,microsoft office,catia,c++,sap erp,mastercam,flexsim,sap products,autocad,programmable logic controller (plc),c (programming language)",Method Specialist
"microsoft sql server,cisco call manager,troubleshooting,management,instructions pour logiciels,oracle database,amélioration des processus,leadership d'équipe multifonctionnelle,data encryption standard,secteur pharmaceutique",Analyste fonctionnel
"microsoft sql server,ibm cognos analytics,ssms,eazybi,talend,microsoft power bi,java,c++,c#,scrum,sql server integration services (ssis),sql server analysis services (ssas),sql server reporting services (ssrs),c (langage de programmation),spring boot",Junior Business intelligence developer
"microsoft sql server,javascript,mysql,xml,java,uml,spring integration,spring security,maven,jenkins,ant,junit,jsf,primefaces,hibernate,jpa,ejb,soap,rest,sonar,sql,vuejs,alfresco api,aspose api,spring batch,spring jdbc,gitlab,active collab,service now,slack,nexus,scrum,git,framework spring,feuilles de style en cascade (css),html,jquery",analyste programmeur
"microsoft sql server,oracle sql developer,postgresql,mariadb,mysql,azure sql,microsoft azure,amazon web services (aws),oracle cloud,system administration,vmware,vmware vcenter,vmware workstation,next.js,vue.js,windows server,windows,sql,red hat linux,pl/sql,oracle database administration,oracle database,linux,databases,node.js,mongodb,firebase,communication,gestion de projet,anglais,php,html5,css,java,javascript,spring boot,react.js,adobe illustrator,adobe photoshop,android,xml",Administrateur de base de données
"microsoft sql server,scrum,internet information services (iis),microsoft azure,wcf services,asp.net mvc,ajax,javascript,.net core,html,css,services web restful,api rest,html5,angular material,angular,jquery,soap",Ingénieur développement  full stack .net Angular
"microsoft sql server,sql server integration services (ssis),sql server management studio,angular,android development,rest apis,mysql,php,nodejs,mongodb,project management,mern stack,sql,sql pl,full-stack development,web application development,front-end design,front-end coding,web interface design,kotlin,ios development,java,javascript,flutter,heroku,continuous integration and continuous delivery (ci/cd),python (programming language),angularjs,spring boot,symfony framework,git,nosql,react.js,node.js,problem solving,strategy,leadership,engineering,communication",Software Engineer Intern
"microsoft windows,java,mysql,php,javascript,planification des ressources d’entreprise (erp),sage,html5,css,jquery,phpmyadmin,bases de données,uml,codeigniter,visual studio,eclipse,dreamweaver,visual basic .net (vb.net),microsoft office,python,linux,windows 10,git,svn,sql,netbeans,scrum,modèle osi,tcip,wordpress,bootstrap,anaconda,jupyter,oracle database",Ingénieur administration système
"microsoft windows,windows phone,c#,visual studio,android,développement pour android,sdk android,android studio,eclipse,appareils mobiles,applications mobiles,ios,développement ios,xcode,microsoft office,windows azure,javascript,android development,java,xml,wpf,silverlight,windows,kotlin,github,méthodes agiles,sqlite,serveurs,firebase,gitlab,tortoise svn,google maps,google analytics,coroutines,modèle-vue-vue modèle,jira,linux",Ingénieur en développement Android embarqué
"mise en œuvre de solutions,science informatique,interfaces,sql server integration services (ssis),gestion de la relation client (crm),jquery,angular,anglais,html,sharepoint,office 365,html5,xml,feuilles de style en cascade (css),développement de logiciels,microsoft 365,microsoft power platform,microsoft dynamics 365,.net framework,c#,microsoft power automate,javascript,microsoft azure,développement web,java,sql,gestion de projet,conception de logiciels,python,django,crm microsoft dynamics,microsoft powerapps",Consultant Microsoft Dynamics 365 CE & power plateform
"mobile application development,mobile enterprise,production deployment,mobile solutions,mobile applications,web development,next.js,react native,     node js,artificial intelligence (ai),figma (software),android development,kotlin,  fluter,javascript,flutter,sql,html5,swift (programming language),php,mongodb,spring boot,angular cli,node.js,react.js,unity,english,software development,augmented reality (ar),adobe photoshop,gaming industry,engineering,gaming",Mobile Developer
"mobile applications,git,software development,xcode,android,ios,ios development,android development,java,mobile application development,object-oriented programming (oop),android sdk,javascript,cross-platform development,rx java,swift (programming language),user experience (ux),objective-c,kotlin",Senior Mobile Engineer - SDK
"mobile applications,software engineering,ios development,android development,scrum,mobile devices,agile methodologies,web services,oop,programming,design patterns,web applications,c#,android,mysql,php,ios,sql,red hat linux,html 5,asp.net mvc,unity3d,uml,html,wordpress,linux,rest,soap,.net,eclipse,json,asp.net,visual studio,git,databases,sqlite,unix,objective-c,jira,java,xml,javascript,windev,windows phone,wearables,google glass,xaml,j2ee application development,windev mobile,mvc",ServiceNow Senior Technical Consultant
"mockito,prometheus.io,grafana,git,glade,nexus,phpunit,microsoft azure,jenkins,amazon web services (aws),sonarqube,selenium,mysql,php,laravel,github,asp.net,angular,spring boot,openstack,ansible,docker ,kubernetes,arduino,microc,internet protocol suite (tcp/ip),web development,javascript,ubuntu,unix,unified modeling language (uml),pl/sql,sql,microcontrollers,c (programming language),java,communication,cascading style sheets (css),html,english",DevOps Engineer
"model training,ci,continuous integration and continuous delivery (ci/cd),mlops,artificial intelligence (ai),english,jinja,openai,optical character recognition (ocr),openai products,leadership,communication,python (programming language),large language models (llm),tensorflow,keras,facial recognition,web development,nltk,opencv,generative ai,google cloud platform (gcp),flask,rag,machine learning,natural language processing (nlp),microsoft excel,convolutional neural networks (cnn),deep learning,tao,ingénierie,gestion de projet,anglais,recherche,résolution de problèmes,français,allemand",AI Engineer Intern at ODDO BHF
"modèle mvc de spring,php,développement front-end,sql,json,sonarqube,c ,sdl,framework symfony,javafx,codename one,reactjs,spring boot,redux,web scrapping,junit,bootstrap,jenkins,nexus,grafana,test unitaire,pipelines,spring eureka,rabbitmq,kafka,docker,kubernetes,mysql,spring security,angularjs,microservices,python,angular,mongodb,express.js,programmation,programmation orientée objet (oop),c++,language c,developpement web,algorithmes,github,git,javascript,java,développement full-stack,node.js,react.js",Ingénieur Full Stack
"modélisation de solides,3dexperience,livraison de projet,gestion de la relation avec les parties prenantes,design industriel,planification du développement,planification de projets,gestion budgétaire,indicateurs de performance,gestion de projet numérique,compétences analytiques,kpm,slack,microsoft teams,coordination de réunions,animation de réunions,analyse des données,extraction de données,rapports sur les indicateurs clés de performance,tableaux de bord d’indicateurs clés de performance,microsoft excel,microsoft powerpoint,scrum,agile,confluence,kaizen,méthodes agiles,sap erp,jira software,design,développement de produits,packaging ,modélisation 3d,catia,véhicules électriques,cao 3d,gestion de projet,management,ingénierie,microsoft office,lean management,flexsim,step 7,travail d’équipe,leadership,automate programmable industriel,lean manufacturing,fao,cao,dao,solidworks,planification stratégique,gestion des opérations,gmao",Consulting Engineer
"monétique,système de paiement,layer2,docker,binance smart chain,defi,infrastructure,goquorum,ethers,hardhat,recrutement stratégique,management,support technique,recrutement technique,typescript,travail d’équipe,leadership d’équipe,web3.js,leadership,stratégie,communication,web3,go,gestion d’équipe,solidity,blockchain,node.js,etl,c++,c#,sql,java,javascript,pl/sql,oracle sql developer,ajax,html5,c,jquery,vba,vb.net,nosql,pascal,services web j2ee,jpa,modèle mvc de spring,informatique financière,mongodb,informatique,développement j2me,symfony,ipfs,ethereum,smart contracts",Blockchain Architect and developer
"mongodb,express.js,react.js,node.js,docker,kubernetes,jest,next.js,unified modeling language (uml),adobe illustrator,adobe photoshop,figma,visual paradigm,circleci,class diagrams,sequence diagrams,use case diagrams,jira,agile methodologies,scrum,model-view-controller (mvc),gantt project,microservices,benchmarking,search advertising,access lint,semrush,microsoft power bi,trello,agile & waterfall methodologies,angular,angular material,github,git,tailwind css,rest apis,postman api,ishikawa",Software Developer
"mongodb,github,python (programming language),microservices,ansible,jenkins,devops,docker,continuous integration and continuous delivery (ci/cd),laravel,mysql,gitlab,framework symfony,bonnes pratiques en sécurité informatique,angular,framework spring,full-stack development,web development,front-end development,back-end web development,video editing,communication,html5,java,résolution de problèmes,visual basic .net (vb.net),sql,oracle database,bases de données,.net framework,visual basic,langage de modélisation unifié (uml),méthodes agiles,php,administration de bases de données,conception de bases de données,développement de bases de données,requêtes de base de données,matlab,programming,c++,scrum,javascript,problem solving,programmation,python (langage de programmation),html,conception web,développement front-end,feuilles de style en cascade (css)",Software Developer
"mongodb,react.js,node.js,express.js,python (langage de programmation)",Junior SAP Consultant
"moteur indemnitaire,preliquidation,paie fpe,scrum,mysql,gestion de projet,sql,ressources humaines (rh),oracle database,microsoft excel,méthodes agiles",Administrateur système Sirh
"mvvm,android jetpack,hilt,slack,jira,coroutines,agile methodologies,android,kotlin,firebase,android development,web services,programming,object-oriented programming (oop),data structures,java,sql,c++,sqlite,eclipse,mysql,xml,sdk android,git,github,json,rxjava,android studio,retrofit,livedata,mvp,gson,android design,mobile application development",Android Developer
"mysql,c++,sql,uml,php,xml,c#,gestion de projet,c,javascript,linux,java enterprise edition,asp.net,microsoft dynamics nav,scrum,android,asp.net mvc,génie logiciel,microsoft sql server,wpf,asp.net 5,tfs,entity framework,angularjs,angular js,jquery,crm microsoft dynamics,wcf",Consultant Dynamics 365 CE & Power Platform
"mysql,drag and drop,progress monitoring,spring cloud,grafana,prometheus.io,apache kafka,alert manager,continuous integration (ci),cloud applications,web design,microsoft office,scrum,jira,javascript,html,java swing,netbeans,symfony framework,javafx,codename one,flutter,node.js,react.js,jenkins,docker,kubernetes,.net framework,linux,java,software infrastructure,full-stack development,spring framework,angular,angular material,camunda bpm,liquibase,continuous integration and continuous delivery (ci/cd),postgresql,application programming interfaces (api),spring boot,spring security,spring mvc,spring webflow,spring integration,angular cli,gitlab,swagger api,postman api,bruno,product development,project management,microsoft excel,leadership",Fullstack Software Engineer
"mysql,javascript,html5,css,tailwind css,spring boot,spring security,angularjs,postgresql,travail d’équipe,react.js,php,presentations,communication",Full Stack Developer
"mysql,javascript,java,sql,php,c++,android,c,c#,asp.net mvc,.net framework,pycharm,python,robot framework,jira,bamboo,bitbucket,sourcetree,.net core,unity3d,swift,drupal,ckan,kali linux,hacking,test automation,test planning,user acceptance testing,manual testing,test management,regression testing,system testing,test strategy,software testing,performance testing,agile testing,unit testing,test cases",QE Engineer level 4
"mysql,jsf,pl/sql,java enterprise edition,subversion,oracle,uml,java,sql,microsoft sql server,asp.net,javascript,.net,xml,applications web",Consultant étude et développement Oracle - PL/SQL – JAVA/JEE
"mysql,maven,linux,kubernetes,jira,gitlab,postgresql,spring boot,spring security,angular,symfony,java,docker,jenkins,nexus,sonar,html,cascading style sheets (css),javascript",Java Web Developer
"mysql,microsoft windows,windows powershell,active directory,ldap,ansible,patrons de conception,html,jira,produits docker,kubernetes,automation,développement de logiciels,résolution de problèmes,automatisation des tests,documentation,travail d’équipe,gestion du temps ,microsoft azure,unix,linux,intégration continue et livraison continue (ci/cd),devops,communication,azure devops,java,python,scrum,c#,c++,c,javascript,jquery,angularjs,html5,css,php,ajax,javafx,jsp,jsf,framework sping,hibernate,sql,nosql,mongodb,git,svn,symfony,qt",analyste programmeur
"mysql,script shell,react.js,node.js,html,css,php,développement web,javascript,angularjs,git,java,spring boot,asp.net",Développeur principal
